year,counts
1851,2
1852,2
1853,1
1854,2
1855,1
1856,3
1857,1
1858,2
1859,2
1860,0
1861,0
1862,2
1863,0
1864,1
1865,1
1866,2
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,6
1881,6
1882,8
1883,5
1884,6
1885,10
1886,6
1887,12
1888,14
1889,16
1890,30
1891,28
1892,24
1893,30
1894,29
1895,27
1896,36
1897,55
1898,130
1899,143
1900,2550
1901,1716
1902,0
1903,0
1904,0
1905,170
1906,274
1907,209
1908,11
1909,0
1910,145
1911,0
1912,56
1913,134
1914,169
1915,39
1916,28
1917,116
1918,163
1919,36
1920,25
1921,58
1922,0
1923,0
1924,6
1925,7
1926,4
1927,3
1928,9
1929,6
1930,2
1931,4
1932,11
1933,182
1934,3
1935,12
1936,0
1937,43
1938,28
1939,17
1940,15
1941,6
1942,2
1943,6
1944,4
1945,15
1946,8
1947,3
1948,8
1949,5
1950,3
1951,1
1952,2
1953,10
1954,7
1955,16
1956,1
1957,15
1958,12
1959,31
1960,0
1961,8
1962,19
1963,8
1964,11
1965,12
1966,13
1967,12
1968,6
1969,6
1970,4
1971,1
1972,1
1973,6
1974,3
1975,2
1976,5
1977,1
1978,1
1979,3
1980,2
1981,12
1982,0
1983,0
1984,0
1985,10
1986,3
1987,20
1988,4
1989,4
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,1
