year,counts
1851,1
,2
,10
,2
,1
,3
,1
,2
,2
1860,0
,0
,2
,0
,1
,1
,2
,0
,0
,0
1870,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
1880,6
,6
,8
,5
,6
,10
,6
,12
,14
,16
1890,30
,28
,24
,30
,29
,27
,36
,55
,130
,143
1900,828
,954
,720
,600
,780
,170
,274
,211
,11
,0
1910,145
,0
,56
,134
,169
,39
,28
,116
,163
,36
1920,25
,58
,0
,0
,6
,7
,4
,3
,9
,6
1930,2
,4
,11
,182
,3
,12
,0
,43
,28
,17
1940,15
,6
,2
,6
,4
,15
,8
,3
,8
,5
1950,3
,1
,2
,10
,7
,16
,1
,15
,12
,31
1960,0
,8
,19
,8
,11
,12
,13
,12
,6
,6
1970,4
,1
,1
,6
,3
,2
,5
,1
,1
,3
1980,2
,12
,0
,0
,0
,10
,3
,20
,4
,4
1990,0
,0
,0
,0
,0
,0
,0
,0
1998,1
